BFS_NR,GEBIET_NAME,THEMA_NAME,SET_NAME,SUBSET_NAME,INDIKATOR_ID,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE,EINHEIT_KURZ,EINHEIT_LANG,...12,BFS_N
195,Maur,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,64600,Fr.,Franken,NA,195
196,Mönchaltorf,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,54200,Fr.,Franken,NA,196
197,Schwerzenbach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,56000,Fr.,Franken,NA,197
198,Uster,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,55000,Fr.,Franken,NA,198
199,Volketswil,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,55200,Fr.,Franken,NA,199
200,Wangen-Brüttisellen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,56800,Fr.,Franken,NA,200
211,Altikon,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,56800,Fr.,Franken,NA,211
213,Brütten,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,67200,Fr.,Franken,NA,213
214,Dägerlen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,55400,Fr.,Franken,NA,214
215,Dättlikon,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,69600,Fr.,Franken,NA,215
216,Dinhard,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,63700,Fr.,Franken,NA,216
218,Ellikon a.d.Th.,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,60400,Fr.,Franken,NA,218
219,Elsau,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,53100,Fr.,Franken,NA,219
220,Hagenbuch,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,54100,Fr.,Franken,NA,220
221,Hettlingen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,62300,Fr.,Franken,NA,221
223,Neftenbach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,60600,Fr.,Franken,NA,223
224,Pfungen,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,53400,Fr.,Franken,NA,224
225,Rickenbach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,54700,Fr.,Franken,NA,225
226,Schlatt,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,56200,Fr.,Franken,NA,226
227,Seuzach,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,60200,Fr.,Franken,NA,227
228,Turbenthal,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,47600,Fr.,Franken,NA,228
230,Winterthur,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2021,49100,Fr.,Franken,NA,230
